invoice_id,carrier,invoice_date,service_month,shipment_ref,destination_city,destination_state,destination_zip,weight_lbs,base_charge,fuel_surcharge,accessorial_fees,accessorial_detail,adjustments,total_charge
PK-INV-2025-1001,Peak Logistics,2025-11-08,October 2025,PLG-2458591,Casper,WY,82601,387.3,882.96,123.61,0.0,,0.0,1006.57
PK-INV-2025-1002,Peak Logistics,2025-11-08,October 2025,PLG-8038374,Colorado Springs,CO,80901,149.0,206.02,28.84,75.0,Liftgate,-42.51,267.35
PK-INV-2025-1003,Peak Logistics,2025-11-08,October 2025,PLG-5661907,Laramie,WY,82070,450.5,382.61,53.57,75.0,Liftgate,0.0,511.18
PK-INV-2025-1004,Peak Logistics,2025-11-08,October 2025,PLG-5437923,Cheyenne,WY,82001,219.5,294.32,41.20,0.0,,0.0,335.52
PK-INV-2025-1005,Peak Logistics,2025-11-08,October 2025,PLG-7067228,Idaho Falls,ID,83401,1952.8,2086.49,292.11,0.0,,0.0,2378.60
PK-INV-2025-1006,Peak Logistics,2025-11-08,October 2025,PLG-2694522,Colorado Springs,CO,80901,150.8,206.02,28.84,75.0,Liftgate,0.0,309.86
PK-INV-2025-1007,Peak Logistics,2025-11-08,October 2025,PLG-5479144,Pueblo,CO,81001,1042.9,478.15,66.94,0.0,,0.0,545.09
PK-INV-2025-1008,Peak Logistics,2025-11-08,October 2025,PLG-4684531,Grand Junction,CO,81501,772.6,1064.98,149.10,75.0,Liftgate,0.0,1289.08
PK-INV-2025-1009,Peak Logistics,2025-11-08,October 2025,PLG-4539704,Grand Junction,CO,81501,63.9,721.08,100.95,0.0,,0.0,822.03
PK-INV-2025-1010,Peak Logistics,2025-11-08,October 2025,PLG-8698256,Great Falls,MT,59401,2512.0,4115.03,576.10,0.0,,0.0,4691.13
PK-INV-2025-1011,Peak Logistics,2025-11-08,October 2025,PLG-7700828,Fort Collins,CO,80521,298.6,191.31,26.78,0.0,,0.0,218.09
PK-INV-2025-1012,Peak Logistics,2025-11-08,October 2025,PLG-8082668,Fort Collins,CO,80521,619.4,282.55,39.56,50.0,Appointment Delivery,0.0,372.11
PK-INV-2025-1013,Peak Logistics,2025-11-08,October 2025,PLG-1192619,Pueblo,CO,81001,2008.2,637.54,89.26,0.0,,0.0,726.80
PK-INV-2025-1014,Peak Logistics,2025-11-08,October 2025,PLG-2871534,Grand Junction,CO,81501,1290.7,1064.98,149.10,0.0,,0.0,1214.08
PK-INV-2025-1015,Peak Logistics,2025-11-08,October 2025,PLG-9398441,Fort Collins,CO,80521,1991.1,282.55,39.56,0.0,,0.0,322.11
PK-INV-2025-1016,Peak Logistics,2025-11-08,October 2025,PLG-4337174,Provo,UT,84601,3275.8,2839.95,397.59,0.0,,0.0,3237.54
PK-INV-2025-1017,Peak Logistics,2025-11-08,October 2025,PLG-1326765,Fort Collins,CO,80521,1679.8,282.55,39.56,75.0,Liftgate,0.0,397.11
PK-INV-2025-1018,Peak Logistics,2025-11-08,October 2025,PLG-2321324,Cheyenne,WY,82001,3220.2,579.58,81.14,200.0,"Liftgate, Inside Delivery",0.0,860.72
PK-INV-2025-1019,Peak Logistics,2025-11-08,October 2025,PLG-3770370,Pueblo,CO,81001,1981.3,478.15,66.94,50.0,Appointment Delivery,0.0,595.09
PK-INV-2025-1020,Peak Logistics,2025-11-08,October 2025,PLG-4374754,Laramie,WY,82070,824.0,565.09,79.11,0.0,,0.0,644.20
PK-INV-2025-1021,Peak Logistics,2025-11-08,October 2025,PLG-3030113,Idaho Falls,ID,83401,2977.2,2781.99,389.48,0.0,,0.0,3171.47
PK-INV-2025-1022,Peak Logistics,2025-11-08,October 2025,PLG-2191066,Colorado Springs,CO,80901,309.8,206.02,28.84,0.0,,0.0,234.86
PK-INV-2025-1023,Peak Logistics,2025-11-08,October 2025,PLG-9143903,Grand Junction,CO,81501,470.3,721.08,100.95,75.0,Liftgate,0.0,897.03
PK-INV-2025-1024,Peak Logistics,2025-11-08,October 2025,PLG-8935169,Fort Collins,CO,80521,1842.4,282.55,39.56,0.0,,0.0,322.11
PK-INV-2025-1025,Peak Logistics,2025-11-08,October 2025,PLG-1908841,Casper,WY,82601,344.1,882.96,123.61,0.0,,0.0,1006.57
PK-INV-2025-1026,Peak Logistics,2025-11-08,October 2025,PLG-9997381,Grand Junction,CO,81501,386.8,721.08,100.95,75.0,Liftgate,0.0,897.03
PK-INV-2025-1027,Peak Logistics,2025-11-08,October 2025,PLG-2642635,Pueblo,CO,81001,265.7,323.75,45.33,200.0,"Liftgate, Inside Delivery",0.0,569.08
PK-INV-2025-1028,Peak Logistics,2025-11-08,October 2025,PLG-3790237,Laramie,WY,82070,2021.6,753.46,105.48,0.0,,0.0,858.94
PK-INV-2025-1029,Peak Logistics,2025-11-08,October 2025,PLG-7550190,Pueblo,CO,81001,224.1,323.75,45.33,0.0,,0.0,369.08
PK-INV-2025-1030,Peak Logistics,2025-11-08,October 2025,PLG-9164991,Pueblo,CO,81001,370.5,323.75,45.33,0.0,,0.0,369.08
PK-INV-2025-1031,Peak Logistics,2025-11-08,October 2025,PLG-1841248,Cheyenne,WY,82001,77.9,294.32,41.20,75.0,Liftgate,0.0,410.52
PK-INV-2025-1032,Peak Logistics,2025-11-08,October 2025,PLG-4117625,Laramie,WY,82070,2724.4,753.46,105.48,0.0,,0.0,858.94
PK-INV-2025-1033,Peak Logistics,2025-11-08,October 2025,PLG-5130808,Colorado Springs,CO,80901,834.4,304.28,42.60,0.0,,0.0,346.88
PK-INV-2025-1034,Peak Logistics,2025-11-08,October 2025,PLG-5374922,Colorado Springs,CO,80901,1141.1,304.28,42.60,0.0,,0.0,346.88
PK-INV-2025-1035,Peak Logistics,2025-11-08,October 2025,PLG-6304573,Cheyenne,WY,82001,231.6,294.29,41.20,0.0,,0.0,335.49
HF-INV-2025-3001,Heartland Freight,2025-11-08,October 2025,HFL-3500715,St. Paul,MN,55101,1149.0,630.12,0.0,85.0,Liftgate,0.0,715.12
HF-INV-2025-3002,Heartland Freight,2025-11-08,October 2025,HFL-3138181,Des Moines,IA,50301,2142.4,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3003,Heartland Freight,2025-11-08,October 2025,HFL-1669324,Chicago,IL,60601,938.9,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3004,Heartland Freight,2025-11-08,October 2025,HFL-7817881,Kansas City,KS,66101,674.6,330.55,0.0,0.0,,0.0,330.55
HF-INV-2025-3005,Heartland Freight,2025-11-08,October 2025,HFL-3726327,Minneapolis,MN,55401,1990.8,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3006,Heartland Freight,2025-11-08,October 2025,HFL-6573147,Kansas City,MO,64101,2164.3,330.55,0.0,0.0,,0.0,330.55
HF-INV-2025-3007,Heartland Freight,2025-11-08,October 2025,HFL-5476257,Norfolk,NE,68701,2107.4,805.72,0.0,0.0,,0.0,805.72
HF-INV-2025-3008,Heartland Freight,2025-11-08,October 2025,HFL-8896868,Cedar Rapids,IA,52401,1965.9,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3009,Heartland Freight,2025-11-08,October 2025,HFL-4818418,Omaha,NE,68101,681.6,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3010,Heartland Freight,2025-11-08,October 2025,HFL-2164686,Rockford,IL,61101,250.2,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3011,Heartland Freight,2025-11-08,October 2025,HFL-9996207,Kansas City,KS,66101,1013.3,330.55,0.0,0.0,,0.0,330.55
HF-INV-2025-3012,Heartland Freight,2025-11-08,October 2025,HFL-3995870,Milwaukee,WI,53201,2308.5,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3013,Heartland Freight,2025-11-08,October 2025,HFL-8290770,Minneapolis,MN,55401,2386.2,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3014,Heartland Freight,2025-11-08,October 2025,HFL-9580255,Springfield,MO,65801,1860.6,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3015,Heartland Freight,2025-11-08,October 2025,HFL-8315831,Duluth,MN,55801,1097.2,805.72,0.0,0.0,,0.0,805.72
HF-INV-2025-3016,Heartland Freight,2025-11-08,October 2025,HFL-4305700,Des Moines,IA,50301,1432.7,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3017,Heartland Freight,2025-11-08,October 2025,HFL-6266630,Milwaukee,WI,53201,1235.4,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3018,Heartland Freight,2025-11-08,October 2025,HFL-7851696,Duluth,MN,55801,1838.7,805.72,0.0,0.0,,0.0,805.72
HF-INV-2025-3019,Heartland Freight,2025-11-08,October 2025,HFL-8053918,Norfolk,NE,68701,1115.0,805.72,0.0,0.0,,0.0,805.72
HF-INV-2025-3020,Heartland Freight,2025-11-08,October 2025,HFL-6049101,Wichita,KS,67201,1816.2,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3021,Heartland Freight,2025-11-08,October 2025,HFL-8212326,Madison,WI,53701,1416.5,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3022,Heartland Freight,2025-11-08,October 2025,HFL-4585314,Minneapolis,MN,55401,1583.4,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3023,Heartland Freight,2025-11-08,October 2025,HFL-2422633,Lincoln,NE,68501,2100.9,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3024,Heartland Freight,2025-11-08,October 2025,HFL-4940441,Milwaukee,WI,53201,1405.3,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3025,Heartland Freight,2025-11-08,October 2025,HFL-1775337,St. Paul,MN,55101,938.2,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3026,Heartland Freight,2025-11-08,October 2025,HFL-8640615,Rockford,IL,61101,2494.6,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3027,Heartland Freight,2025-11-08,October 2025,HFL-7442089,Madison,WI,53701,2261.1,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3028,Heartland Freight,2025-11-08,October 2025,HFL-2788238,Madison,WI,53701,1097.2,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3029,Heartland Freight,2025-11-08,October 2025,HFL-8793853,Kansas City,KS,66101,721.8,330.55,0.0,0.0,,0.0,330.55
HF-INV-2025-3030,Heartland Freight,2025-11-08,October 2025,HFL-3237058,Des Moines,IA,50301,1532.7,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3031,Heartland Freight,2025-11-08,October 2025,HFL-8425149,Norfolk,NE,68701,1803.3,805.72,0.0,0.0,,0.0,805.72
HF-INV-2025-3032,Heartland Freight,2025-11-08,October 2025,HFL-8481188,Minneapolis,MN,55401,2141.8,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3033,Heartland Freight,2025-11-08,October 2025,HFL-5147994,Duluth,MN,55801,1916.6,805.72,0.0,0.0,,0.0,805.72
HF-INV-2025-3034,Heartland Freight,2025-11-08,October 2025,HFL-5606980,St. Louis,MO,63101,1974.1,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3035,Heartland Freight,2025-11-08,October 2025,HFL-6363836,Norfolk,NE,68701,374.4,805.72,0.0,0.0,,0.0,805.72
HF-INV-2025-3036,Heartland Freight,2025-11-08,October 2025,HFL-4589533,Minneapolis,MN,55401,377.8,630.12,0.0,0.0,,-67.36,562.76
HF-INV-2025-3037,Heartland Freight,2025-11-08,October 2025,HFL-2044645,Iowa City,IA,52240,1146.3,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3038,Heartland Freight,2025-11-08,October 2025,HFL-1327691,Omaha,NE,68101,2109.8,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3039,Heartland Freight,2025-11-08,October 2025,HFL-7542890,Minneapolis,MN,55401,1043.1,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3040,Heartland Freight,2025-11-08,October 2025,HFL-4700025,Wichita,KS,67201,1468.7,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3041,Heartland Freight,2025-11-08,October 2025,HFL-7783308,Norfolk,NE,68701,705.1,805.72,0.0,135.0,Inside Delivery,0.0,940.72
HF-INV-2025-3042,Heartland Freight,2025-11-08,October 2025,HFL-9961107,St. Paul,MN,55101,581.2,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3043,Heartland Freight,2025-11-08,October 2025,HFL-2408404,Des Moines,IA,50301,2312.0,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3044,Heartland Freight,2025-11-08,October 2025,HFL-4551070,Wichita,KS,67201,513.3,500.99,0.0,135.0,Inside Delivery,0.0,635.99
HF-INV-2025-3045,Heartland Freight,2025-11-08,October 2025,HFL-8072684,Madison,WI,53701,973.9,630.12,0.0,0.0,,0.0,630.12
